,full_bandwidth_rms,bandpassed_rms,bandpassed_crest_factor,1500_to_max_rms,pitch_frequency,hps_sparsity,pitch_strength,pitch_frequency_lookback_1,hps_sparsity_lookback_1,pitch_strength_lookback_1,pitch_frequency_lookback_2,hps_sparsity_lookback_2,pitch_strength_lookback_2,pitch_frequency_lookback_3,hps_sparsity_lookback_3,pitch_strength_lookback_3,label
1319,0.025540559,0.022408733101956495,6.831663230180791,0.005272151772409653,166.0,0.9165282286610505,0.37307245452859955,166.0,0.9291738916530418,0.566754123682779,166.0,0.9660622638923573,0.8039874742747918,124.0,0.9452005596935155,0.42471484403881243,1
1320,0.033858944,0.029546363610758106,7.073656036244196,0.005337166510381004,80.0,0.6758829385081908,0.15218589926462547,166.0,0.9165282286610505,0.37307245452859955,166.0,0.9291738916530418,0.566754123682779,166.0,0.9660622638923573,0.8039874742747918,1
1321,0.035711296,0.03127975893970884,6.682061663845841,0.005557816109536666,80.0,0.9466676656776435,0.43369477973636006,80.0,0.6758829385081908,0.15218589926462547,166.0,0.9165282286610505,0.37307245452859955,166.0,0.9291738916530418,0.566754123682779,1
1322,0.027763126,0.02419663802391651,6.312903308062202,0.005874652998080523,80.0,0.9235827725028016,0.6966867218843663,80.0,0.9466676656776435,0.43369477973636006,80.0,0.6758829385081908,0.15218589926462547,166.0,0.9165282286610505,0.37307245452859955,1
1323,0.02548258,0.021765761756667966,6.0822505631053545,0.00545634456334042,82.0,0.9548713775974605,0.7249753031188763,80.0,0.9235827725028016,0.6966867218843663,80.0,0.9466676656776435,0.43369477973636006,80.0,0.6758829385081908,0.15218589926462547,1
1324,0.032154076,0.027207308666294013,7.4742507904833175,0.006401735996064194,166.0,0.9422840974946892,0.8654543790016477,82.0,0.9548713775974605,0.7249753031188763,80.0,0.9235827725028016,0.6966867218843663,80.0,0.9466676656776435,0.43369477973636006,1
1325,0.034747045,0.029278307956301406,6.9498486992619934,0.006382904149798493,166.0,0.9830380645544817,0.8279439509033287,166.0,0.9422840974946892,0.8654543790016477,82.0,0.9548713775974605,0.7249753031188763,80.0,0.9235827725028016,0.6966867218843663,1
1326,0.030757431,0.02554124039080695,7.3867557644326505,0.0051000950224781,166.0,0.851187364337642,0.35029546545519674,166.0,0.9830380645544817,0.8279439509033287,166.0,0.9422840974946892,0.8654543790016477,82.0,0.9548713775974605,0.7249753031188763,1
1327,0.029067839,0.024360437825390033,6.847788735765257,0.005375816868569886,84.0,0.8721989708894698,0.5693226005461131,166.0,0.851187364337642,0.35029546545519674,166.0,0.9830380645544817,0.8279439509033287,166.0,0.9422840974946892,0.8654543790016477,1
1328,0.031408764,0.027742462963228277,8.120006622486331,0.005855713473410516,166.0,0.8794908660569317,0.3974631422360519,84.0,0.8721989708894698,0.5693226005461131,166.0,0.851187364337642,0.35029546545519674,166.0,0.9830380645544817,0.8279439509033287,1
